Time,Rating,sec
0,3,0
10,3,10
20,3,20
30,3,30
40,3,40
50,3,50
60,3,0
70,2,10
80,1,20
90,1,30
100,1,40
110,3,50
120,1,0
130,3,10
140,2,20
150,3,30
160,2,40
170,3,50
180,2,0
190,2,10
200,2,20
210,2,30
220,3,40
230,4,50
240,3,0
250,5,10
260,5,20
270,5,30
280,5,40
290,2,50
300,2,0
310,2,10
320,4,20
330,5,30
340,4,40
350,4,50
360,4,0
370,5,10
380,5,20
390,5,30
400,2,40
410,2,50
420,3,0
430,4,10
440,3,20
450,4,30
460,4,40
470,5,50
480,5,0
490,4,10
500,2,20
510,4,30
520,4,40
530,2,50
540,3,0
550,3,10
560,5,20
570,5,30
580,5,40
590,5,50
600,5,0
610,5,10
620,5,20
630,4,30
640,5,40
650,5,50
660,5,0
670,2,10
680,4,20
690,5,30
700,2,40
710,2,50
720,4,0
730,5,10
740,5,20
750,5,30
760,4,40
770,4,50
780,3,0
790,5,10
800,5,20
810,5,30
820,5,40
830,4,50
840,3,0
850,5,10
860,1,20
870,2,30
880,3,40
890,5,50
