Time,Rating,TimeStamp
0,4,0
10,4,10
20,4,20
30,5,30
40,2,40
50,2,50
60,3,0
70,3,10
80,4,20
90,1,30
100,2,40
110,4,50
120,3,0
130,2,10
140,4,20
150,4,30
160,3,40
170,5,50
180,2,0
190,3,10
200,4,20
210,4,30
220,3,40
230,5,50
240,4,0
250,4,10
260,5,20
270,5,30
280,4,40
290,3,50
300,5,0
310,2,10
320,4,20
330,5,30
340,2,40
350,4,50
360,5,0
370,4,10
380,3,20
390,5,30
400,4,40
410,3,50
420,3,0
430,4,10
440,2,20
450,5,30
460,4,40
470,3,50
480,4,0
490,3,10
500,2,20
510,4,30
520,3,40
530,4,50
540,5,0
550,4,10
